"Tenuta Duecorti Winery, Italy",Italy,"[41.87194, 12.56738]",
"Hunt Cellars Winery, US",,,
"Ocelli Winery, US",,,
"Gersing Winery, US",,,
"St. Christopher Winery, Germany",Germany,"[51.165691, 10.451526]",
"Au Jus Winery, US",,,
"Authentique Winery, US",,,
"Sembro Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Anatomy Winery, US","1017 Buffalo Ridge Rd, Castle Pines, Colorado 80108","[39.473527, -104.906419]",
"Stickybeak Winery, US","703 Jefferson Street, Napa, California 94559","[38.295281, -122.294042]",
"Cuevas del Sur Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Chí¢teau Lafite Rothschild Winery, France","Chateau Trolliet-Lafite, Sadillac 24500, Aquitaine","[44.738422, 0.490699]",
"Parry Cellars Winery, US","3424 Silverado Trail N., St. Helena, CA 94574-9662","[38.542147, -122.489228]",
"Tendil & Lombardi Winery, France",France,"[46.227638, 2.213749]",
"Pazo Serantellos Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Castillo Rocio Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Cuna del Sol Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Jadix Winery, France",France,"[46.227638, 2.213749]",
"Domaine Sarragousse Winery, France","13340 Rognac, Provence-Alpes","[43.487895, 5.234500]",
"Domaine Delsol Winery, France","12 Chemin de Donaro, 34810 Pom_rols, France","[43.388934, 3.505659]",
"Míçscara de Feugo Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Dark Matter Winery, US",,,
"Francis Tannahill Winery, US",,,
"Anciano Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"El Burro Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Previous Winery, US","19203 Old U.S. 40, Higginsville, MO 64037, USA","[39.0003838, -93.75373160000001]",
"Mignanelli Winery, US",,,
"Nisia Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Yellow Tail Winery, Australia","1471 Wakley Road, Yenda, NSW 2681","[-34.245334, 146.212046]",
"Pasaje Alto Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Figaro Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Maddalena Winery, US","737 Lamar St, Los Angeles, CA 90031, USA","[34.0637975, -118.2239144]",
"Chakras Winery, Argentina","Monte Lí_bano 1025, 5509 Lujíçn de Cuyo, Mendoza, Argentina","[-32.982498, -68.876806]",
"Beau Joubert Winery, South Africa",South Africa,"[-30.559482, 22.937506]",
"Cecilia Beretta Winery, Italy",Italy,"[41.87194, 12.56738]",
"Kale Winery, US","708 1st St, Napa, CA 94559, USA","[38.3010772, -122.2822244]",
"The Conqueror Winery, US",,,
"Bryx Winery, US",,,
"La Pitchoune Winery, US",United States,"[37.09024, -95.712891]",
"Skyfall Winery, US",,,
"Orogeny Winery, US",,,
"Olsen Private Vineyards, South Africa",South Africa,"[-33.7338611, 19.0487349]",
"Payana Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Blanchard & Lurton Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Flor De Campo Winery, US",United States,"[37.09024, -95.712891]",
"Suhru Winery, US","28735 Main Rd, Cutchogue, NY 11935, USA","[41.01227799999999, -72.48459319999999]",
"Vií±a Casablanca Winery, Chile","Hijuelas NŒ_ 2 Ex Fundo - Sta Rosa, Casablanca, Regií_n de Valparaí_so, Chile","[-33.3174912, -71.4349889]",
"Senda Verde Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"The Federalist Winery, US",,,
"Chaman Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Caracol Serrano Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Chí¢teau la Croix Saint-Pierre Winery, France",France,"[46.227638, 2.213749]",
"Belle Ambiance Winery, US",,,
"Cosa Obra Winery, US","3451 Silverado Trail N, St Helena, CA 94574, USA","[38.5421356, -122.4925615]",
"Simone Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Porta Winery, Chile",Chile,"[-35.675147, -71.542969]",
"Screen Door Cellars Winery, US",,,
"Tinto Rey Winery, US","12300 County Rd 92B, Zamora, CA 95698, USA","[38.7599314, -121.925328]",
"Wild Hogge Winery, US",,,
"Chí¢teau Ducluzeau Winery, France",France,"[46.227638, 2.213749]",
"Chí¢teau La Clare Winery, France","33250 Pauillac, France","[45.2249531, -0.7724358]",
"Meurgey-Croses Winery, France",France,"[46.227638, 2.213749]",
"Straccali Winery, Italy",Italy,"[41.87194, 12.56738]",
"Vigilance Winery, US","13888 Point Lakeview Rd, Lower Lake, CA 95457, USA","[38.914527, -122.649414]",
"Riboli Winery, US",,,
"Nicky Versfeld Winery, South Africa",South Africa,"[-30.559482, 22.937506]",
"Austerity Winery, US",,,
"Costa Archi Winery, Italy",Italy,"[41.87194, 12.56738]",
"Chí¢teau Larroque Winery, France",France,"[46.227638, 2.213749]",
"Paul Cheneau Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Vií±alba Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Perception Winery, US","23837 US-385, Hill City, SD 57745, USA","[43.9497417, -103.5225896]",
"Degani Winery, Italy",Italy,"[41.87194, 12.56738]",
"Domaine Nicolas Boiron Winery, France",France,"[46.227638, 2.213749]",
"Highland Cellars Winery, US",,,
"Gros Ventre Winery, US","8054 Fairplay Rd, Somerset, CA 95684, USA","[38.588329, -120.664434]",
"Lucienne Winery, US","37700 Foothill Rd, Soledad, CA 93960, USA","[36.3785325, -121.383945]",
"Bodegas Palacio Winery, Spain","San Lazaro, 1, 01300 Guardia, Araba, Spain","[42.5483632, -2.5865305]",
"Raiza Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Terras de Alter Winery, Portugal","Zona Industrial Da Lt. 22/28, 263, Fronteira, Portugal","[39.201007, -7.660334]",
"Shoofly Winery, Australia",Australia,"[-25.274398, 133.775136]",
"Tiza Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]",
"Lafazanis Winery, Greece","Nemea 205 00, Greece","[37.81366, 22.765443]",
"Peter Franus Winery, US",,,
"TerrAmore Winery, Italy",Italy,"[41.87194, 12.56738]",
"Vino Sapien Winery, US",,,
"Quintay Winery, Chile","Casablanca, Valparaiso Region, Chile","[-33.3558103, -71.3298582]",
"Kings Ridge Winery, US","12615 US-52, Dubuque, IA 52002, USA","[42.5616312, -90.732801]",
"Evel Winery, Portugal",Portugal,"[39.39987199999999, -8.224454]",
"La Vida al Camp Winery, Spain",Spain,"[40.46366700000001, -3.74922]",
"Verse & Chorus Winery, US",,,
"Bernhard Huber Winery, Germany","Heimbacher Weg 19, 79364 Malterdingen, Germany","[48.16004299999999, 7.812422299999999]",
"Poeira Winery, Portugal",Portugal,"[39.39987199999999, -8.224454]",
"Patient Cottat Winery, France",France,"[46.227638, 2.213749]",
"Sean Thackrey Winery, US",,,
"Shaw and Smith Winery, Australia","136 Jones Rd, Balhannah SA 5242, Australia","[-35.0052266, 138.8232387]",
