"Orestiadi Winery, Italy","Via Gagini, 41, 91024 Gibellina TP, Italy","[37.8085846, 12.878869]"
"Vieux ChÃ¢teau des Combes Winery, France","1 Ruch, Chateau Vieux Larmande, 33330 Saint-Émilion, France","[44.90326959999999, -0.1614407]"
"Zin 91 Winery, US","91 E Zen Rd, Vineyard, UT 84058, USA","[40.2990758, -111.7514868]"
"ChÃ¢teau la Lauzette Winery, France","La Lauzette, France","[43.6468403, 0.2561386]"
"ChÃ¢teau la Roque de By Winery, France",France,"[46.227638, 2.213749]"
"Hay Maker Winery, New Zealand",New Zealand,"[-40.900557, 174.885971]"
"Evening Land Winery, France","1326 OR-99W #100, Dundee, OR 97115, USA","[45.2724729, -123.0161062]"
"Red Cap Winery, US","891 Ponderosa Dr, Angwin, CA 94508, USA","[38.589092, -122.4408159]"
"Honor Winery, US","36 Bay St, Staten Island, NY 10301, USA","[40.6411934, -74.0761573]"
"Juslyn Vineyards, US","2900 Spring Mountain Rd, St Helena, CA 94574, USA","[38.5112716, -122.4965166]"
"Casata Monfort Winery, Italy","Via Sette Carlo, 21, 38015 Lavis TN, Italy","[46.13810000000001, 11.11311]"
"ChÃ¢teau Vitallis Winery, France","2290 S French Rd, Lake Leelanau, MI 49653, USA","[44.9484416, -85.7551398]"
"Dutschke Winery, Australia","1 Gods Hill Rd, Lyndoch SA 5351, Australia","[-34.6074015, 138.8742371]"
"Gain Bay Winery, US","22 US-101, Depoe Bay, OR 97341, USA","[44.81139899999999, -124.062006]"
"Pierre Vessigaud Winery, France","71960 Solutré-Pouilly, France","[46.2897689, 4.7421782]"
"Ellman Family Winery, US","3286 Silverado Trail, Napa, CA 94558, USA","[38.3565396, -122.2863729]"
"Weingut Am Stein Winery, Germany","Mittlerer Steinbergweg 5, 97080 Würzburg, Germany","[49.8053213, 9.9282437]"
"Abbeyville Winery, US","1496 Columbia Rd, Valley City, OH 44280, USA","[41.233977, -81.9229]"
"Neal Family Winery, US","716 Liparita Ave, Angwin, CA 94508, USA","[38.5747156, -122.4630778]"
"Plan B Winery, US","3520 Arundell Cir #107, Ventura, CA 93003, USA","[34.259021, -119.248177]"
"Domaine de la Grange Winery, France","Domaine Grange, 34150 Aniane, France","[43.6841, 3.58848]"
"Rios de Tinta Winery, Spain",Spain,"[40.46366700000001, -3.74922]"
"Rocca di Montegrossi Winery, Italy","Localita S Marcellino, 21, 53013 Gaiole in Chianti SI, Italy","[43.4048585, 11.4168394]"
"Elio Altare Winery, Italy","Frazione Annunziata, 51, 12064 La Morra CN, Italy","[44.6398657, 7.948766699999999]"
"Wolf Family Winery, US","St Helena, CA 94574, USA","[38.5027778, -122.4697222]"
"Giacosa Fratelli Winery, Italy","Via XX Settembre, 64, 12052 Neive CN, Italy","[44.721328, 8.116232]"
"Anomaly Winery, US","455 Bella Vista Ct, St Helena, CA 94574, USA","[38.489749, -122.472603]"
"Cellers Melis Winery, Spain","9, Carrer de la Bassa, 43737 Torroja del Priorat, Tarragona, Spain","[41.2129544, 0.8105201]"
"Weingut Christ Winery, Austria","Amtsstraße 12, 1210 Wien, Austria","[48.278121, 16.407046]"
"Le Pianelle Winery, Italy","Via Forte, 25, 13862 Brusnengo BI, Italy","[45.595556, 8.253126]"
"Fulcrum Winery, US","25 E Napa St suite d, Sonoma, CA 95476, USA","[38.2916223, -122.4572729]"
"Garber & Goltz Winery, Austria",Austria,"[47.516231, 14.550072]"
"Lea Winery, US","73505 225th St, Albert Lea, MN 56007, USA","[43.6800354, -93.4004027]"
"Peace Water Winery, US","37 W Main St, Carmel, IN 46032, USA","[39.9781968, -86.1280103]"
"Aigner Winery, Austria","Wr. Str. 171, 2352 Gumpoldskirchen, Austria","[48.03674239999999, 16.295718]"
"Gotham Winery, Australia","2517 Broadway, New York, NY 10025, USA","[40.793304, -73.973131]"
"Ackerman Winery, France","19 Rue Léopold Palustre, 49412 Saumur, France","[47.2713977, -0.1070052]"
"Anterra Winery, Italy",Italy,"[41.87194, 12.56738]"
"Bel Lago Winery, US","6530 S Lake Shore Dr, Cedar, MI 49621, USA","[44.8838502, -85.7251167]"
"Byington Winery, US","21850 Bear Creek Rd, Los Gatos, CA 95033, USA","[37.16968380000001, -122.0547005]"
"Castel Firmian Winery, Italy","Via del Castello, 38016 Mezzocorona TN, Italy","[46.2182339, 11.111225]"
"Isidoro Polencic Winery, Italy","Località Plessiva, 12, 34071 Cormons GO, Italy","[45.9775518, 13.4964024]"
