"Domaine Corine Perchaud Winery, France",France,"[46.227638, 2.213749]"
"Le Petit Panier Winery, France",France,"[46.227638, 2.213749]"
"Laguna de la Nava Winery, Spain",Spain,"[40.46366700000001, -3.74922]"
"ChÃ¢teau les Ancres Winery, France","2290 S French Rd, Lake Leelanau, MI 49653, USA","[44.9484416, -85.7551398]"
"ZagarrÃ³n Winery, Spain",Spain,"[40.46366700000001, -3.74922]"
"Don Leta Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]"
"Pagos Familia Langa Winery, Spain",Spain,"[40.46366700000001, -3.74922]"
"Arregi Winery, Spain",Spain,"[40.46366700000001, -3.74922]"
"El Hada Winery, Spain",Spain,"[40.46366700000001, -3.74922]"
"GewÃ¼rztraminer Winery, Germany",Germany,"[51.165691, 10.451526]"
"Gypsy Canyon Winery, US",,
"Caves Dom Teodosio Winery, Portugal",Portugal,"[39.39987199999999, -8.224454]"
"Pargua Winery, Chile",Chile,"[-35.675147, -71.542969]"
"SueÃ±o Winery, Spain",Spain,"[40.46366700000001, -3.74922]"
"Angels & Cowboys Winery, US",,
"ChÃ¢teau Le Giron Winery, France",France,"[46.227638, 2.213749]"
"ChÃ¢teau K Winery, France",France,"[46.227638, 2.213749]"
"Kalfu Winery, Chile",Chile,"[-35.675147, -71.542969]"
"Fiore d'Arancio Winery, US",,
"Houdini Winery, US",,
"DeLucia Vineyards, Italy",Italy,"[41.87194, 12.56738]"
"Crowded House Winery, New Zealand",New Zealand,"[-40.900557, 174.885971]"
"Slow Press Winery, US",,
"Ambo Secco Winery, Italy",Italy,"[41.87194, 12.56738]"
"Cerebella Winery, US",,
"SeaGlass Winery, US",,
"JoletÃ© Winery, US",,
"Obrigado Winery, Portugal",Portugal,"[39.39987199999999, -8.224454]"
"Domaine Claude Branger Winery, France",France,"[46.227638, 2.213749]"
"CÃ  Lojera Winery, Italy",Italy,"[41.87194, 12.56738]"
"Hey Mambo Winery, US",,
"Lestonnat Winery, France",France,"[46.227638, 2.213749]"
"Manos Negras Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]"
"Le Prince Winery, France",France,"[46.227638, 2.213749]"
"Lexicon Winery, Argentina",Argentina,"[-38.416097, -63.61667199999999]"
"ChÃ¢teau Desmirail Winery, France",France,"[46.227638, 2.213749]"
"Sant'Andrea in Colle Winery, Italy",Italy,"[41.87194, 12.56738]"
"Conde Villar Winery, Portugal",Portugal,"[39.39987199999999, -8.224454]"
