USAF,WBAN,STATION NAME,CTRY,ST CALL,LAT,LON,ELEV(M),BEGIN,END
7026,99999,WXPOD 7026,AF,,0.000000,0.000000,7026,20140711,20170822
7070,99999,WXPOD 7070,AF,,0.000000,0.000000,7070,20140923,20150926
8260,99999,WXPOD8270,,,0.000000,0.000000,0,19420101,19561231
8403,99999,XM10,,,,,,20140101,20140412
8411,99999,XM20,,,,,,20140102,20160217
8414,99999,XM18,,,,,,20140101,20160217
8415,99999,XM21,,,,,,20140108,20160217
8416,99999,XM22,,,,,,20140402,20150917
8418,99999,XM24,,,,,,20140101,20160217
8421,99999,XM26,,,,,,20140406,20151229
10000,99999,BOGUS NORWAY,NO,ENRS,,,,20010927,20051231
10010,99999,JAN MAYEN(NOR-NAVY),NO,ENJA,70.933000,-8.667000,9,19310101,20180619
10013,99999,ROST,NO,,,,,19861120,19880105
10014,99999,SORSTOKKEN,NO,ENSO,59.792000,5.341000,48.8,19861120,20180619
10015,99999,BRINGELAND,NO,,61.383000,5.867000,327,19870117,20111020
10016,99999,RORVIK/RYUM,NO,,64.850000,11.233000,14,19870116,19910806
10017,99999,FRIGG,NO,ENFR,59.980000,2.250000,48,19880320,20050228
10020,99999,VERLEGENHUKEN,NO,,80.050000,16.250000,8,19861109,20180619
10030,99999,HORNSUND,NO,,77.000000,15.500000,12,19850601,20180619
10040,99999,NY-ALESUND II,NO,ENAS,78.917000,11.933000,8,19730101,20140523
10050,99999,ISFJORD RADIO,SV,,78.067000,13.633000,9,19570101,20140523
10060,99999,EDGEOYA,NO,,78.250000,22.817000,14,19730101,20180619
10070,99999,NY-ALESUND,SV,,78.917000,11.933000,7.7,19730106,20180619
10071,99999,LONGYEARBYEN,SV,,78.217000,15.583000,37,20050210,20050210
10080,99999,LONGYEAR,SV,ENSB,78.246000,15.466000,26.8,19750929,20180619
10090,99999,KARL XII OYA,SV,,80.650000,25.000000,5,19550101,20180619
10100,99999,ANDOYA,NO,ENAN,69.293000,16.144000,13.1,19310103,20180619
10110,99999,KVITOYA,SV,,80.067000,31.500000,10,19861118,20180619
10120,99999,,,,,,,19741130,19751116
10140,99999,SENJA-LAUKHELLA,NO,,69.233000,17.900000,9,19730101,20140523
10150,99999,HEKKINGEN FYR,NO,,69.600000,17.833000,14,19800314,20180619
10160,99999,KONGSOYA,NO,,78.933000,28.900000,20,19930501,20180619
10170,99999,AKSELOYA,SV,,77.683000,14.783000,6,19730101,20180619
10190,99999,SVARTTANGEN,NO,,77.517000,20.817000,20,20100825,20140523
10200,99999,SORKAPPOYA,SV,,76.483000,16.550000,10,20101008,20180619
10230,99999,BARDUFOSS,NO,ENDU,69.056000,18.540000,76.8,19400713,20180619
10231,99999,DRAUGEN,NO,ENDR,64.350000,7.800000,0,20040510,20180530
10240,99999,PYRAMIDEN,NO,,78.650000,16.367000,20,19730101,20180619
10250,99999,TROMSO,NO,ENTC,69.683000,18.919000,9.4,19730101,20180619
10260,99999,TROMSO,NO,,69.650000,18.933000,114.5,19970201,20180619
10270,99999,TROMSO-HOLT,NO,,69.650000,18.900000,20,20110928,20180619
10280,99999,BJORNOYA ISLAND,NO,ENBJ,74.517000,19.017000,18,19310103,20180619
10300,99999,KISTEFJELL,NO,,69.283000,18.133000,982,19570101,20180619
