"Wines & Winemakers Winery, Portugal",,
"Testarossa Winery, US","300 College Ave, Los Gatos, CA 95030, USA","[37.21347799999999, -121.981544]"
"DFJ Vinhos Winery, Portugal","Quinta Fonte Bela, 2070-681 Vila ChÃ£ de Ourique, SantarÃ©m, Portugal","[39.153059, -8.733476]"
"Williams Selyem Winery, US","7227 Westside Rd, Healdsburg, CA 95448, USA","[38.5204049, -122.8667194]"
"Louis Latour Winery, France","18 Rue des Tonneliers, 21200 Beaune, France","[47.0240114, 4.8404783]"
"Georges Duboeuf Winery, France","271 La Gare, 71570 RomanÃ¨che-Thorins, France","[46.1770427, 4.7399514]"
"Chateau Ste. Michelle Winery, US","14111 NE 145th St, Woodinville, WA 98072, USA","[47.7298044, -122.1493133]"
"Concha y Toro Winery, Chile","Lontue, Molina, RegiÃ_n del Maule, Chile","[-35.0634448, -71.27197989999999]"
"Columbia Crest Winery, US","178810 WA-221, Paterson, WA 99345, USA","[45.9570837, -119.6095194]"
"Kendall-Jackson Winery, US","5007 Fulton Rd, Fulton, CA 95403, USA","[38.5069448, -122.7728944]"
"Siduri Winery, US","981 Airway Ct, Santa Rosa, CA 95403, USA","[38.475155, -122.7355]"
"Gary Farrell Winery, US","10701 Westside Rd, Healdsburg, CA 95448, USA","[38.5073594, -122.8973961]"
"Lynmar Winery, US","3909 Frei Rd, Sebastopol, CA 95472, USA","[38.4421027, -122.8445728]"
"Albert Bichot Winery, France","6 Boulevard Jacques Copeau, 21200 Beaune, France","[47.0250364, 4.8439377]"
"Montes Winery, Chile","I-350, Santa Cruz, RegiÃ_n del Libertador Gral. Bernardo Oâ€™Higgins, Chile","[-34.6160556, -71.27386109999999]"
"Casa Santos Lima Winery, Portugal","Quinta da Boavista, 2580-081 Aldeia Galega da Merceana, Portugal","[39.069947, -9.118017]"
"Trapiche Winery, Argentina","Nueva Mayorga s/n, 5513 MaipÃº, Mendoza, Argentina","[-32.9724957, -68.7475431]"
"Jean-Luc and Paul Aegerter Winery, France","21 Rue Carnot, 21200 Beaune, France","[47.0233342, 4.8383604]"
"Undurraga Winery, Chile","Camino a Melipilla 34, Talagante, RegiÃ_n Metropolitana, Chile","[-33.6469213, -70.886015]"
