"Proper Winery, US",United States,"[37.09024, -95.712891]"
"Quinta da Zaralhôa Winery, Portugal","Freixo de Numão V.N, 5155-201 Vila Nova de Foz Côa, Portugal","[41.075339, -7.27518]"
"Ramos-Pinto Winery, Portugal","Av. de Ramos Pinto 380, 4400-266 Porto, Portugal","[41.13707890000001, -8.6155175]"
"Wyncroft Winery, US","1055 64th St, Pullman, MI 49450, USA","[42.49491159999999, -86.1681969]"
"Vicente Gandia Winery, Spain","Ctra. Cheste a Godelleta, s/n, 46370 Chiva, Valencia, Spain","[39.4757434, -0.6939997]"
"Gustafson Family Winery, US","34 North St, Healdsburg, CA 95448, USA","[38.6116753, -122.8712959]"
"JAQK Cellars Winery, US","402 Jackson St, San Francisco, CA 94111, USA","[37.7967607, -122.4020862]"
"Gracianna Winery, US","6914 Westside Rd, Healdsburg, CA 95448, USA","[38.5253445, -122.8653324]"
"Angulo Innocenti Winery, Argentina","Belgrano 1415 Piso 3, 5500 Mendoza, Argentina","[-32.885368, -68.848681]"
"Cable Car Winery, US","1111 Dunaweal Ln, Calistoga, CA 94515, USA","[38.5670164, -122.548258]"
"Michael-Scott Winery, US",,
"Luis Segundo Correas Winery, Argentina","Granaderos 888, 5500 Mendoza, Argentina","[-32.8897082, -68.8577233]"
"Parras Vinhos Winery, Portugal","Estrada Nacional 8-5, 2461-956 Valado dos Frades, Portugal","[39.5679156, -8.986332299999999]"
"Quinta do Casal Monteiro Winery, Portugal","Estrada Municipal 1, 2080-201 Almeirim, Portugal","[39.2003671, -8.6604452]"
"Three Fires Winery, US","5046 S W Bay Shore Dr, Suttons Bay, MI 49682, USA","[44.906437, -85.63309249999999]"
"Verterra Winery, US","103 E River St, Leland, MI 49654, USA","[45.0229492, -85.75958109999999]"
"Finca Salazar Winery, Spain","45880 Corral de Almaguer, Toledo, Spain","[39.789303, -3.202954]"
"Pazo de Barrantes Winery, Spain","Rúa Castaños, 20, 36636 Barrantes, Pontevedra, Spain","[42.4970698, -8.7770998]"
"Cooperativa Reguengos de Monsaraz Winery, Portugal","Rua Professor Mota Pinto, Aptd. 3, Reguengos Monsaraz, Évora, Portugal","[38.4274688, -7.5294372]"
"Armanino Family Cellars Winery, US","706 Escalona Dr, Capitola, CA 95010, USA","[36.9763276, -121.9452372]"
"Lechthaler Winery, Italy",Italy,"[41.87194, 12.56738]"
"Coast Winery, US","34843 Rancho California Rd, Temecula, CA 92591, USA","[33.5342475, -117.0537593]"
"Pat Paulsen Vineyards, US","5143 Tesla Rd, Livermore, CA 94550, USA","[37.6646405, -121.7309812]"
"Mossback Winery, US","12300 County Rd 92B, Zamora, CA 95698, USA","[38.7599314, -121.925328]"
"Peachy Canyon Winery, US","2025 Nacimiento Lake Dr, Paso Robles, CA 93446, USA","[35.6743107, -120.7309454]"
"Tricky Rabbit Winery, Chile",Chile,"[-35.675147, -71.542969]"
"Bradford Mountain Winery, US","7190 Trenton-Healdsburg Rd, Forestville, CA 95436, USA","[38.4940446, -122.8583148]"
"Domaine de la Pepière Winery, France","36 La Pepière, 44690 Maisdon-sur-Sèvre, France","[47.105781, -1.413418]"
"Quinta da Rede Winery, Portugal","5100, Portugal","[41.1556554, -7.797672100000001]"
"Reustle Winery, US","960 Cal Henry Rd, Roseburg, OR 97471, USA","[43.3508481, -123.4374496]"
"Chopo Winery, Spain",Spain,"[40.46366700000001, -3.74922]"
"MooBuzz Winery, US","100 Brotherhood Plaza Dr, Washingtonville, NY 10992, USA","[41.4324082, -74.16298909999999]"
"Palma Real Winery, Spain","Palma, Balearic Islands, Spain","[39.5696005, 2.6501603]"
"Proulx Winery, US","5424 Vineyard Dr, Paso Robles, CA 93446, USA","[35.5770979, -120.7960261]"
"Quinta Dona Matilde Winery, Portugal","Quinta Dona Matilde, Bagaúste, 5050-435 Canelas PRG, Portugal","[41.14666, -7.725346]"
"Quinta dos Poços Winery, Portugal","Quinta dos Vales Sítio dos Vales, 8400-031 Estômbar, Portugal","[37.149746, -8.476461]"
"Roco Winery, US","13260 NE Red Hills Rd, Newberg, OR 97132, USA","[45.3128237, -123.0160408]"
"Podere ai Valloni Winery, Italy","Str. della Traversagna, 28010 Boca NO, Italy","[45.686967, 8.3808815]"
"Wirra Wirra Winery, Australia","McMurtrie Rd, McLaren Vale SA 5171, Australia","[-35.22601, 138.5677841]"
"Greystone Cellars Winery, US","2555 Main St, St Helena, CA 94574, USA","[38.5145636, -122.4848266]"
"Hill-Smith Estate Winery, Australia","136 Jones Rd, Balhannah SA 5242, Australia","[-35.0052266, 138.8232387]"
"Cadus Winery, Argentina","Guardia Vieja 2000, 5509 Luján de Cuyo, Mendoza, Argentina","[-33.0137858, -68.9100121]"
"Casto Oaks Winery, US","5022 CA-140, Mariposa, CA 95338, USA","[37.4847702, -119.9655166]"
"Riposte Winery, Australia","2 Pioneer Ave, Clare SA 5453, Australia","[-33.8295763, 138.6084604]"
"Spann Vineyards, US","8910 Sonoma Hwy, Kenwood, CA 95452, USA","[38.4193955, -122.5519665]"
"Siduri Winery, US","981 Airway Ct, Santa Rosa, CA 95403, USA","[38.475155, -122.7355]"
"Thema Winery, Greece","Unnamed Rd, Prosotsani 662 00, Greece","[41.200615, 23.9521875]"
"Moletto Winery, Italy","Via Col de Rove, 2, 31049 Valdobbiadene TV, Italy","[45.896952, 11.989227]"
"Domaine de Gournier Winery, France","30190 Sainte-Anastasie, France","[43.9504843, 4.2955631]"
"Fratelli Berlucchi Winery, Italy","Via Broletto, 2, 25040 Corte Franca BS, Italy","[45.6212475, 10.0111401]"
"Hahn Estates Winery, US","37700 Foothill Rd, Soledad, CA 93960, USA","[36.3785325, -121.383945]"
"Kings Mountain Winery, US","14831 Pierce Rd, Saratoga, CA 95070, USA","[37.2601024, -122.0647232]"
"Vinchio-Vaglio Serra Winery, Italy","Str. Vaglio Serra, 27, 14049 Vinchio AT, Italy","[44.8058808, 8.3294915]"
"Marqués de Vargas Winery, Spain","Carretera Zaragoza, km. 6, 26006 Logroño, La Rioja, Spain","[42.454247, -2.372339]"
"Marrenon Winery, France","Boulevard Saint-Roch, 84240 La Tour-d'Aigues, France","[43.7223051, 5.545494]"
"Bishop Creek Cellars Winery, US","614 E 1st St, Newberg, OR 97132, USA","[45.3002907, -122.9732426]"
"Château Couhins-Lurton Winery, France","48 Chemin de Martillac, 33140 Villenave-d'Ornon, France","[44.7542249, -0.5621423]"
"Château Fonréaud Winery, France","Fonreaud, 33480 Listrac-Médoc, France","[45.0580984, -0.7969681]"
"Château Lynch-Moussas Winery, France","Madrac, 33250 Saint-Sauveur, France","[45.18349449999999, -0.7924907999999999]"
"Jean Albrecht Winery, France",France,"[46.227638, 2.213749]"
"La Cave des Vignerons de Pfaffenheim Winery, France","5 Rue du Chai, 68250 Pfaffenheim, France","[47.98519659999999, 7.292066600000001]"
"Lakewood Winery, US","4024 NY-14, Watkins Glen, NY 14891, USA","[42.4289349, -76.9060858]"
"Left Coast Cellars Winery, US","4225 N Pacific Highway West, Rickreall, OR 97371, USA","[44.9936217, -123.2241368]"
"Ravines Winery, US","400 Barracks Rd, Geneva, NY 14456, USA","[42.8446909, -77.0010301]"
"Naggiar Winery, US","18125 Rosemary Ln, Grass Valley, CA 95949, USA","[39.05706060000001, -121.1863991]"
"Novaia Winery, Italy","Via Novaia, 1, 37020 Marano di Valpolicella VR, Italy","[45.5549817, 10.9234488]"
"Sparkling Pointe Winery, US","39750 County Road 48, Southold, NY 11971, USA","[41.0616565, -72.444225]"
"Vaona Winery, Italy","Localita' Paverno, Valgatara, VR 37020, 37020 Marano di Valpolicella VR, Italy","[45.5382738, 10.9146939]"
"Emile Beyer Winery, France","7 Place du Château Saint-Léon, 68420 Eguisheim, France","[48.0429888, 7.306816]"
"Giuseppe Lonardi Winery, Italy","Via Poste, 2/A, 37020 Marano VR, Italy","[45.554704, 10.914961]"
"Korbel Winery, US","13250 River Rd, Guerneville, CA 95446, USA","[38.5078734, -122.9648055]"
"Lété-Vautrain Winery, France","11 Rue des Semars, 02400 Château-Thierry, France","[49.0387123, 3.3799334]"
"Lone Birch Winery, US","560 Merlot Dr, Prosser, WA 99350, USA","[46.2204949, -119.7769366]"
"One Iron Winery, US","1 Iron Hill Way, Vineyard Haven, MA 02568, USA","[41.42265949999999, -70.6138823]"
"Owl Ridge Winery, US","2064 Gravenstein Hwy N Unit 120, Sebastopol, CA 95472, USA","[38.4242157, -122.8484378]"
"Eola Hills Winery, US","501 S Pacific Hwy W, Rickreall, OR 97371, USA","[44.9266505, -123.2294204]"
"Fattoria La Vialla Winery, Italy","Via di Meliciano, 26, 52029 Castiglion Fibocchi AR, Italy","[43.5287178, 11.780188]"
"Ferrocinto Winery, Italy","Contrada Ferrocinto, 87012 Castrovillari CS, Italy","[39.8018239, 16.2519002]"
"Hunnicutt Winery, US","3524 Silverado Trail N, St Helena, CA 94574, USA","[38.5474118, -122.4883694]"
"Baron-Fuenté Winery, France","21 Avenue Fernand Drouet, 02310 Charly-sur-Marne, France","[48.9759426, 3.2983232]"
"Bodegas Carballal Winery, Spain","Ctra. de Carballal, 0, 32356 Petín, Ourense, Spain","[42.38207999999999, -7.125969]"
"Brimoncourt Winery, France","84 Boulevard Charles de Gaulle, 51160 Ay, France","[49.0533313, 4.0018015]"
"Casa Nuestra Winery, US","3451 Silverado Trail N, St Helena, CA 94574, USA","[38.5421356, -122.4925615]"
"Cass Winery, US","7350 Linne Rd, Paso Robles, CA 93446, USA","[35.5977053, -120.5648223]"
"Celli Winery, Italy","15880 Summerlin Rd #308, Fort Myers, FL 33908, USA","[26.5154391, -81.89993799999999]"
"D'Aione Winery, Italy","Frazione S. Paolo, Tufo, AV 83010, Italy","[41.0216846, 14.824861]"
"D'Angelo Winery, Italy","Via Padre Pio, 8, 85028 Rionero In Vulture PZ, Italy","[40.933281, 15.676225]"
"Schlink Haus Winery, Germany",Germany,"[51.165691, 10.451526]"
"Schloss Gobelsburg Winery, Austria","Schloss Str. 16, 3550 Langenlois, Austria","[48.4609877, 15.6959582]"
"Vasse Felix Winery, Australia","Caves Rd & Tom Cullity Drive, Margaret River WA 6284, Australia","[-33.8235369, 115.0482283]"
"Glatzer Winery, Austria","Rosenbergstraße 5, 2464 Göttlesbrunn, Austria","[48.0607076, 16.7367366]"
"Château Lamothe-Cissac Winery, France","33250 Cissac-Médoc, France","[45.229446, -0.832658]"
"Giuseppe Rinaldi Winery, Italy","Via Monforte, 2, 12060 Barolo CN, Italy","[44.60827159999999, 7.941700399999999]"
"Nada Giuseppe Winery, Italy","Via Vincenzo Giacosa, 12/a, 12050 Treiso CN, Italy","[44.69943199999999, 8.0855299]"
"Negro Angelo e Figli Winery, Italy","Frazione Sant'Anna, 1, 12040 Monteu Roero CN, Italy","[44.7776732, 7.966933300000001]"
"Benovia Winery, US","3339 Hartman Rd, Santa Rosa, CA 95401, USA","[38.4767587, -122.7981463]"
"Guido Porro Winery, Italy","Via Alba, 1, 12050 Serralunga D'alba CN, Italy","[44.61405999999999, 8.0014]"
"Joseph Swan Vineyards, US","2916 Laguna Rd, Forestville, CA 95436, USA","[38.483276, -122.8493168]"
"Manfred Tement Winery, Austria","Zieregg 13, 8461 Berghausen, Austria","[46.6861486, 15.6125279]"
"Convergence Zone Winery, US","10808 428th Ave SE, North Bend, WA 98045, USA","[47.50276960000001, -121.7686565]"
"Château de Sancerre Winery, France","10B Place du Connétable, 18300 Sancerre, France","[47.3309891, 2.8408564]"
"Colosi Winery, Italy","Diramazione Viaria C, Giammoro, 98042 Pace del Mela ME, Italy","[38.207009, 15.30657]"
"Curto Winery, Italy","Via Galileo Galilei, 41, 97014 Ispica RG, Italy","[36.7859761, 14.9054646]"
"Delaforce Winery, Portugal","52 Mitchell Blvd, San Rafael, CA 94903, USA","[38.0169114, -122.5387523]"
"Walnut City WineWorks Winery, US","475 NE 17th St, McMinnville, OR 97128, USA","[45.2202293, -123.1948645]"
"Lamadrid Winery, Argentina","Roque Sáenz Peña 8450, 5509 Luján de Cuyo, Mendoza, Argentina","[-33.036355, -68.964604]"
"Domaine Philippe Gilbert Winery, France","Route des Aix, 18510 Menetou-Salon, France","[47.231117, 2.503682]"
"Domaines Vinsmoselle Winery, Luxembourg","12 Route du Vin, 5450 Stadtbredimus, Luxembourg","[49.564074, 6.368646999999999]"
"Falkner Winery, US","40620 Calle Contento, Temecula, CA 92591, USA","[33.5339566, -117.0661994]"
"Humberto Canale Winery, Argentina","Chacra 186., Gral. Roca, Argentina","[-39.0687096, -67.6409601]"
"Bastgen Winery, Germany","Hofstraße 18, 54518 Osann-Monzel, Germany","[49.90798299999999, 6.954142999999999]"
"Vignobles Jeanjean Winery, France","Av. de l' Enclos, 34725 Saint-Félix-de-Lodez, France","[43.660878, 3.4621723]"
"Château le Pape Winery, France","25 Chemin le Thil, 33850 Léognan, France","[44.737367, -0.568145]"
"Château Tour Rozier Winery, France","Mas de Rozier, 30129 Manduel, France","[43.7882349, 4.477310999999999]"
"Coquerel Family Wine Estates Winery, US","3180 CA-128, Calistoga, CA 94515, USA","[38.592967, -122.609411]"
"De Bortoli Winery, Australia","58 Pinnacle Ln, Dixons Creek VIC 3775, Australia","[-37.5971122, 145.4126113]"
"Domaine Ste. Michelle Winery, US","14111 NE 145th St, Woodinville, WA 98072, USA","[47.7298044, -122.1493133]"
"Domaines Barons de Rothschild (Lafite) Winery, France","33250 Pauillac, France","[45.2249531, -0.7724358]"
"Jamesport Winery, US","1216 Main Rd, Jamesport, NY 11947, USA","[40.9486135, -72.59723699999999]"
"La Croix de Renaud Winery, France","8 Route de Saint-Jacques-de -Compostelle, 33500 Pomerol, France","[44.9349824, -0.1996843]"
"Le Mas de Bertrand Winery, France","1076 Chemin des Patriotes O, Saint-Jean-sur-Richelieu, QC J2Y 1H4, Canada","[45.285315, -73.358755]"
"Mulini di Segalari Winery, Italy","Località Felciaino 115/a, 57022 Castagneto Carducci LI, Italy","[43.173276, 10.626826]"
"Riverbench Winery, US","6020 Foxen Canyon Rd, Santa Maria, CA 93454, USA","[34.8521889, -120.2558541]"
"Rock Hollow Winery, US","48 E Glendale Rd, Golconda, IL 62938, USA","[37.451603, -88.659255]"
"Viu Manent Winery, Chile","3130000, Carretera del vino km 37 Viu Manent, Santa Cruz, Región del Libertador Gral. Bernardo O’Higgins, Chile","[-34.6499872, -71.3086612]"
"Zina Hyde Cunningham Winery, US","480 1st St E, Sonoma, CA 95476, USA","[38.292095, -122.4564658]"
"Sieur d'Arques Winery, France","Avenue du Mauzac, 11300 Limoux, France","[43.055162, 2.204333]"
"Terra d'Alter Winery, Portugal","Zona Industrial Da Lt. 22/28, 263, Fronteira, Portugal","[39.201007, -7.660334]"
"Viña Chocalan Winery, Chile","Camino A Rapel, Melipilla, Región Metropolitana, Chile","[-33.7532792, -71.2313109]"
"François Lurton Winery, Chile","Km 29 Ruta l.72, Lolol, Región del Libertador Gral. Bernardo O’Higgins, Chile","[-34.7295067, -71.5936394]"
"Waterstone Winery, US","708 1st St, Napa, CA 94559, USA","[38.3010772, -122.2822244]"
"Willowbrook Winery, US","737 Lamar St, Los Angeles, CA 90031, USA","[34.0637975, -118.2239144]"
"Hesperian Winery, US","2555 Madrona Ave, St Helena, CA 94574, USA","[38.500989, -122.497092]"
"3Fools Winery, US","13 Pacific Ave, Rodeo, CA 94572, USA","[38.0383011, -122.2717498]"
"Amayna Winery, Chile","G- - Chile 818, San Antonio, Región de Valparaíso, Chile","[-33.6823761, -71.4973869]"
"Arauco Winery, Chile","La Montaña 776, Lampa, Región Metropolitana, Chile","[-33.3167077, -70.73055819999999]"
"YN Winery, US","8419 W Main St, Westfield, NY 14787, USA","[42.3071135, -79.606371]"
"Cousiño-Macul Winery, Chile","Av. Quilín 7100, Penalolen, Peñalolén, Región Metropolitana, Chile","[-33.4985778, -70.56251929999999]"
"Cerro Prieto Winery, US","3432 Las Tablas Willow Creek Rd, Paso Robles, CA 93446, USA","[35.5685279, -120.7605832]"
"Oveja Negra Winery, Chile","2372 - Av. Diego Portales, Arica, Región de Arica y Parinacota, Chile","[-18.48444, -70.2923582]"
"Viniverde Winery, Portugal",Portugal,"[39.39987199999999, -8.224454]"
"Château Pontet-Canet Winery, France","12 Rue Lucien Teyssier, 33250 Pauillac, France","[45.2084418, -0.7709716]"
"Château Pape Clément Winery, France","216 Avenue Dr Nancel Penard, 33600 Pessac, France","[44.806031, -0.6476029999999999]"
"Lamborghini Winery, Italy","Loc Soderi, 1, 06064 Panicale PG, Italy","[43.06380619999999, 12.0964462]"
"Emmerich Knoll Winery, Austria","Unterloiben 132, 3601 Dürnstein, Austria","[48.3883514, 15.5422425]"
