"CÃ¡lem Winery, Portugal",,,Portugal,Wines & Winemakers
"St. Urbans-Hof Winery, Germany","16, UrbanusstraÃŸe, 54340 Leiwen, Germany","[49.8229201, 6.8722501]",US,Testarossa
"Polkura Winery, Chile","MarchigÃ_e, Marchihue, O'Higgins Region, Chile","[-34.3410506, -71.6260193]",Portugal,DFJ Vinhos
"Cascina Luisin Winery, Italy","Str. Rabaja, 36, 12050 Barbaresco CN, Italy","[44.71874769999999, 8.0843962]",US,Williams Selyem
"Castello Gabiano Winery, Italy","Via Gabbiano, 22, 50020 Mercatale In Val di Pesa FI, Italy","[43.6282453, 11.2604592]",France,Louis Latour
"Domaine FranÃ§oise AndrÃ© Winery, France","7, Rempart Saint-Jean, 21200 Beaune, France","[47.022851, 4.8416558]",France,Georges Duboeuf
"Eternal Winery, US","9 S 1st Ave, Walla Walla, WA 99362, USA","[46.0667935, -118.3374387]",US,Chateau Ste. Michelle
"Harbes Family Vineyard, US","715 Sound Ave, Mattituck, NY 11952, USA","[40.9862652, -72.578206]",Chile,Concha y Toro
"Ritual Winery, Chile",Chile,"[-35.675147, -71.542969]",US,Columbia Crest
"Tensley Winery, US","2900 Grand Ave, Los Olivos, CA 93441, USA","[34.665687, -120.114703]",US,Kendall-Jackson
"Terroir Al LÃ_mit Winery, Spain","Carrer Baixa de la Font, 12, 43737 Torroja del Priorat, Tarragona, Spain","[41.2124899, 0.8121107]",US,Siduri
"Vetus Winery, Spain","Carretera Toro-Salamanca, km. 9-10, 49820 Villabuena del Puente, Zamora, Spain","[41.411427, -5.428278]",US,Gary Farrell
"CÃ¡lem Winery, Portugal","Av. de Diogo Leite 344, 4400-111 Lagos, Portugal","[41.1380756, -8.6109043]",US,Lynmar
"CARM Winery, Portugal","Rua Calabria, S/N -021 Portugal, 5150-021 Almendra, Portugal","[40.99261, -7.057093]",France,Albert Bichot
"The Lane Winery, Australia","5 Ravenswood Ln, Hahndorf SA 5245 Ravenswood Ln, â€¢ hahndorf SA 5245, Australia","[-35.0119262, 138.836719]",Chile,Montes
"Hunter's Winery, New Zealand","603 Rapaura Rd, Rapaura 7273, New Zealand","[-41.4753451, 173.88756]",Portugal,Casa Santos Lima
"I Veroni Winery, Italy","Via Tifariti, 50065 Pontassieve FI, Italy","[43.776242, 11.419743]",Argentina,Trapiche
"Bellingham Winery, South Africa","1319 11th St, Bellingham, WA 98225, USA","[48.7196305, -122.503125]",France,Jean-Luc and Paul Aegerter
"Domaine Cheysson Winery, France","Le Bourg, 69115 Chiroubles, France","[46.1806198, 4.6655179]",Chile,Undurraga
"Pikes Winery, Australia","233 Polish Hill Rd, Sevenhill SA 5453, Australia","[-33.88713800000001, 138.675478]",US,Robert Mondavi
"Tenuta di Lilliano Winery, Italy","LocalitÃ  Lilliano, 8, 53011 Castellina in Chianti SI, Italy","[43.436705, 11.254538]",Chile,Santa Ema
"Terrabianca Winery, Italy","Localita' San Fedele A Paterno, 53017 Radda In Chianti SI, Italy","[43.4290471, 11.349969]",France,Chanson PÂère et Fils
"Calina Winery, Chile",Chile,"[-35.675147, -71.542969]",US,Fess Parker
"ChÃ¢teau du ChÃ¢telard Winery, France","307 Le ChÃ¢telard, 69220 Lancie, France","[46.1698044, 4.713786499999999]",US,V. Sattui
"Opta Winery, Portugal","990 NW Brooks St, Bend, OR 97701, USA","[44.0596817, -121.3139235]",US,Iron Horse
"Signae Winery, Italy","Loc. Purgatorio, 06035 Torri di Barattano - Gualdo Cattaneo PG, Italy","[42.85702800000001, 12.523899]",US,Foxen
"Thorn Winery, US","1945 Fruitville Pike, Lancaster, PA 17601, USA","[40.0756912, -76.3217241]",France,Louis Jadot
"Auburn Winery, US","117 Sharptown-Auburn Rd, Pilesgrove, NJ 08098, USA","[39.6741469, -75.3685515]",Italy,Feudi di San Gregorio
"Bogati Winery, US","35246 Harry Byrd Hwy #190, Round Hill, VA 20141, USA","[39.127684, -77.787627]",US,Chehalem
"ChÃ¢teau du Luc Winery, France","Chateau La Mascaronne, 83340 Le-Luc-en-Provence, France","[43.4065508, 6.3013433]",US,Maryhill
