"ChÃ¢teau Roquetaillade la Grange Winery, France","33210 Mazères, France","[44.49197470000001, -0.2652597]"
"Pietro Clementi Winery, Italy","Via Gnirega, 2, 37020 Gnirega VR, Italy","[45.5396553, 10.9217905]"
"Katherine Goldschmidt Winery, US","631 Healdsburg Ave, Healdsburg, CA 95448, USA","[38.617024, -122.87241]"
"Mediterra Winery, Greece","Κουνάβοι, Ηράκλειο, 70100, Kounavi 701 00, Greece","[35.233412, 25.18473]"
"Medusa Winery, US","252 Harrisburg Pike, Lancaster, PA 17603, USA","[40.0466842, -76.31172]"
"1000 Stories Winery, US","10525 Bell Rd, Plymouth, CA 95669, USA","[38.5481663, -120.8280171]"
"Murdoch James Winery, New Zealand","284 Dry River Rd, Martinborough 5781, New Zealand","[-41.2734684, 175.4108047]"
"San Martino Winery, Italy","12512 State Hwy 205, Lavon, TX 75166, USA","[32.9868574, -96.46776919999999]"
"Levo Winery, US","2975 Limestone Way, Paso Robles, CA 93446, USA","[35.5765293, -120.6898632]"
"Antichi Vigneti di Cantalupo Winery, Italy","Via M. Buonarroti, 5, 28074 Ghemme NO, Italy","[45.6004436, 8.4262155]"
"Ferruccio Deiana Winery, Italy","Località Su Leunaxi, 09040 Settimo San Pietro CA, Italy","[39.33414459999999, 9.138092]"
"Piero Mancini Winery, Italy","Via Madagascar, 17, 07026 Olbia OT, Italy","[40.9284617, 9.5463038]"
"Pardevalles Winery, Spain","Lugar Valdevimbre, 1018, 24230, León, Spain","[42.4288064, -5.6007523]"
"G. Moulinier Winery, France","Domaine MOULINIER, 34360 Pierrerue, France","[43.423861, 2.973893]"
"Jean Stodden Winery, Germany","Rotweinstraße 7, 53506 Rech, Germany","[50.5149, 7.036960000000001]"
"ChÃ¢teau Bel Enclos Winery, France","20 Rue du Grand Moulinet, 33500 Pomerol, France","[44.9361346, -0.2234533]"
"ChÃ¢teau Montet Winery, France","2290 S French Rd, Lake Leelanau, MI 49653, USA","[44.9484416, -85.7551398]"
"Tenimenti Montagnana Winery, Italy","35044 Montagnana, Province of Padua, Italy","[45.2308365, 11.4624091]"
"Giovanni Almondo Winery, Italy","Via S. Rocco, 26, 12046 Montà CN, Italy","[44.8172047, 7.960495900000001]"
